epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,446.183,1.21793,8.74069,0.71213,1.03178,0.02282,12.5808,0.93582,0.92558,0.97265,0.74421,0.70839,0.47737,0.41651,0.15916,0.95202,4.91926,0.47232,0.40833,0.02225,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,840.218,1.08478,5.9268,0.60014,0.65415,0.0198,6.59267,0.93721,0.90163,0.96254,0.71523,0.80344,0.56404,0.58681,0.31147,1.02985,3.91902,0.39353,0.45765,0.02416,0,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978
3,1206.97,1.12781,5.41679,0.50793,0.67177,0.02089,5.92693,0.93656,0.91426,0.97154,0.71583,0.82994,0.61425,0.64429,0.38629,1.0232,3.43553,0.26744,0.42882,0.02527,0,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916
4,1579.91,1.15574,5.16986,0.42835,0.69746,0.02149,5.52928,0.91562,0.91054,0.96216,0.7252,0.79639,0.62852,0.6231,0.40835,1.0055,3.28297,0.18158,0.4425,0.02435,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1942.34,1.11441,4.73366,0.38238,0.665,0.02047,4.91627,0.91267,0.91806,0.96907,0.73168,0.76662,0.61004,0.57158,0.38725,0.99237,3.2981,0.17301,0.41983,0.02407,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2293.1,1.08935,4.39454,0.35053,0.6147,0.01981,4.378,0.93159,0.93501,0.97487,0.75667,0.74412,0.61297,0.53723,0.35974,0.89904,3.30854,0.15156,0.38424,0.02097,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2643.7,1.06596,4.14782,0.3302,0.59733,0.01947,4.05972,0.94124,0.94966,0.98122,0.77649,0.80614,0.71327,0.70279,0.50628,0.84874,2.6173,0.1106,0.35118,0.01995,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2993.82,1.02751,3.91323,0.31731,0.56773,0.0187,3.72613,0.93838,0.93271,0.97577,0.78774,0.83252,0.73468,0.74675,0.5588,0.81454,2.41521,0.09976,0.3742,0.01853,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3342.47,1.02334,3.87353,0.30937,0.56277,0.01854,3.70572,0.94536,0.95253,0.98375,0.80078,0.83647,0.75519,0.76513,0.57696,0.78857,2.34154,0.10197,0.32278,0.01797,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3692.22,1.00055,3.70583,0.30047,0.55234,0.01801,3.40254,0.95303,0.94813,0.98226,0.79083,0.70604,0.65235,0.53321,0.36993,0.81572,3.15446,0.10075,0.33363,0.01875,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4042.1,0.995,3.65088,0.29173,0.54077,0.01783,3.32983,0.94103,0.95183,0.98124,0.79909,0.82477,0.74334,0.74925,0.57651,0.78071,2.30624,0.09788,0.33128,0.01825,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4388.66,0.98869,3.56129,0.28793,0.53615,0.01774,3.23185,0.95147,0.95694,0.98528,0.81639,0.82945,0.77979,0.77868,0.60786,0.74372,2.18096,0.08901,0.3044,0.01694,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4737.54,0.96437,3.41347,0.28442,0.516,0.01721,3.00931,0.95975,0.95642,0.98601,0.81136,0.83666,0.77648,0.77095,0.59458,0.76155,2.18779,0.0895,0.29117,0.01734,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
